Variable ID,Variable name,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop
CO_366:0000221,SdWid_M_mm,,Trial evaluation,Post-Harvest,,,"IBP, IITA, IPGRI, UoN","Julian Pietragalla, Michael Abberton, Sean Mayes",,EN,Bambara groundnut
CO_366:0000224,TLfltLng_M_mm,,"Nursery evaluation, Trial evaluation",,,,"IBP, IITA, IPGRI, UoN","Julian Pietragalla, Michael Abberton, Sean Mayes",,EN,Bambara groundnut
CO_366:0000227,TLfltWid_M_mm,,"Nursery evaluation, Trial evaluation",,,,"IBP, IITA, IPGRI, UoN","Julian Pietragalla, Michael Abberton, Sean Mayes",,EN,Bambara groundnut
CO_366:0000231,StmNodeN_Ct_node,,Trial evaluation,Harvest,,,"IBP, IPGRI",Julian Pietragalla,,EN,Bambara groundnut
CO_366:0000235,PlntPN_Ct_pod,,Trial evaluation,Harvest,,,"IBP, IITA, UoN","Julian Pietragalla, Michael Abberton, Sean Mayes",,EN,Bambara groundnut
CO_366:0000239,PSdN_Cp_sd,,Trial evaluation,Post-Harvest,,,"IBP, IITA, IPGRI","Julian Pietragalla, Michael Abberton",,EN,Bambara groundnut
CO_366:0000243,PlntStmN_Ct_stm,,Trial evaluation,Harvest,,,"IBP, IPGRI, IITA, UoN","Julian Pietragalla, Michael Abberton, Sean Mayes",,EN,Bambara groundnut
CO_366:0000247,ShellThk_M_um,,Trial evaluation,Post-Harvest,,,"IBP, IITA, IPGRI, UoN","Julian Pietragalla, Michael Abberton, Sean Mayes",,EN,Bambara groundnut
CO_366:0000250,EyeCol_E_1to19,,Trial evaluation,,,,IITA,Michael Abberton,,EN,Bambara groundnut
CO_366:0000254,EyePat_E_1to12,,Trial evaluation,,,,IITA,Michael Abberton,,EN,Bambara groundnut
CO_366:0000258,CanWid_M,,Trial evaluation,,,,IITA,Michael Abberton,,EN,Bambara groundnut
CO_366:0000262,GColSdTta_E,,Trial evaluation,,,,IITA,Michael Abberton,,EN,Bambara groundnut
CO_366:0000266,PigArEye_E,,Trial evaluation,,,,IITA,Michael Abberton,,EN,Bambara groundnut
CO_366:0000270,PodAreaN_Cp_cm2,,Trial evaluation,,,,IITA,Michael Abberton,,EN,Bambara groundnut
CO_366:0000274,TrifN_Ct_Lvs,,Trial evaluation,,,,IITA,Michael Abberton,,EN,Bambara groundnut
CO_366:0000278,OpenflwCol_E_col,,Trial evaluation,,,,IITA,Michael Abberton,,EN,Bambara groundnut
CO_366:0000282,PodFill_Ct,,Trial evaluation,,,,IITA,Michael Abberton,,EN,Bambara groundnut
CO_366:0000286,ShellHrvst_M_Plot/kg,,Trial evaluation,,,,IITA,Michael Abberton,,EN,Bambara groundnut
